City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,ilebo,50,CD,scattered clouds,58,-4.32,20.58,67.89,0.0,0,0.92
1,makakilo city,20,US,few clouds,57,21.35,-158.09,82.4,0.0,0,13.87
2,calvinia,0,ZA,clear sky,25,-31.47,19.78,64.4,0.0,0,17.22
3,hobart,90,AU,mist,93,-42.88,147.33,55.0,0.0,0,8.05
4,dikson,13,RU,few clouds,77,73.51,80.55,39.24,0.0,0,9.75
5,viedma,0,AR,clear sky,55,-40.81,-63.0,46.13,0.0,0,11.14
6,cap malheureux,46,MU,light rain,82,-19.98,57.61,70.0,0.25,0,3.0
7,boulsa,94,BF,overcast clouds,42,12.67,-0.58,84.0,0.0,0,6.67
8,launceston,75,AU,broken clouds,76,-41.45,147.17,60.01,0.0,0,14.99
9,kautokeino,98,NO,overcast clouds,63,69.01,23.04,62.85,0.0,0,6.96
10,norman wells,75,CA,broken clouds,76,65.28,-126.83,51.8,0.0,0,17.22
11,ati,60,TD,broken clouds,18,13.22,18.34,87.73,0.0,0,8.46
12,nikolskoye,0,RU,clear sky,82,59.7,30.79,60.8,0.0,0,6.71
13,atherton,0,GB,clear sky,88,53.52,-2.49,62.01,0.0,0,1.01
14,hilo,90,US,overcast clouds,58,19.73,-155.09,82.4,0.0,0,8.05
15,mataura,86,NZ,overcast clouds,83,-46.19,168.86,49.6,0.0,0,2.21
16,mar del plata,100,AR,overcast clouds,100,-38.0,-57.56,51.01,0.0,0,2.24
17,bluff,93,NZ,overcast clouds,84,-46.6,168.33,48.54,0.0,0,14.18
18,escanaba,96,US,overcast clouds,87,45.75,-87.06,55.99,0.0,0,6.62
19,aklavik,90,CA,overcast clouds,75,68.22,-135.01,44.6,0.0,0,9.17
20,tahe,98,CN,overcast clouds,37,52.33,124.73,72.64,0.0,0,6.44
21,hithadhoo,38,MV,scattered clouds,75,-0.6,73.08,84.22,0.0,0,9.91
22,ushuaia,90,AR,light snow,86,-54.8,-68.3,33.8,0.0,0,16.11
23,olinda,40,BR,scattered clouds,78,-8.01,-34.86,78.8,0.0,0,11.41
24,port alfred,3,ZA,clear sky,32,-33.59,26.89,66.0,0.0,0,10.0
25,pokhara,56,NP,light rain,71,28.23,83.98,79.2,0.44,0,3.83
26,denia,0,ES,clear sky,74,38.84,0.11,71.01,0.0,0,2.28
27,chlorakas,40,CY,scattered clouds,82,34.8,32.41,66.2,0.0,0,5.82
28,rikitea,84,PF,broken clouds,53,-23.12,-134.97,69.94,0.0,0,9.53
29,kodiak,90,US,light rain,81,57.79,-152.41,51.8,0.76,0,6.93
30,bambous virieux,40,MU,scattered clouds,83,-20.34,57.76,71.6,0.0,0,9.17
31,bredasdorp,0,ZA,clear sky,93,-34.53,20.04,39.2,0.0,0,1.81
32,liverpool,45,GB,scattered clouds,93,53.41,-2.98,57.99,0.0,0,3.36
33,qaanaaq,0,GL,clear sky,78,77.48,-69.36,36.59,0.0,0,4.65
34,busselton,99,AU,overcast clouds,46,-33.65,115.33,63.0,0.0,0,12.15
35,jamestown,90,US,overcast clouds,87,42.1,-79.24,63.0,0.0,0,13.87
36,damghan,0,IR,clear sky,26,36.17,54.35,75.87,0.0,0,2.26
37,cape town,0,ZA,clear sky,100,-33.93,18.42,48.2,0.0,0,9.17
38,iqaluit,75,CA,broken clouds,86,63.75,-68.51,41.0,0.0,0,13.87
39,georgetown,20,MY,few clouds,79,5.41,100.34,86.0,0.0,0,3.36
40,atuona,26,PF,light rain,77,-9.8,-139.03,80.01,0.16,0,16.58
41,severo-kurilsk,100,RU,overcast clouds,80,50.68,156.12,50.05,0.0,0,8.7
42,faanui,100,PF,overcast clouds,81,-16.48,-151.75,79.05,0.0,0,14.76
43,kropotkin,35,RU,scattered clouds,79,45.44,40.58,70.29,0.0,0,2.64
44,mahebourg,40,MU,scattered clouds,83,-20.41,57.7,71.6,0.0,0,9.17
45,ergani,0,TR,clear sky,54,38.27,39.76,62.6,0.0,0,4.7
46,hovd,99,MN,overcast clouds,25,48.01,91.64,66.85,0.0,0,4.76
47,zonguldak,1,TR,clear sky,90,41.25,31.83,58.75,0.0,0,5.03
48,ponta do sol,40,PT,scattered clouds,72,32.67,-17.1,68.0,0.0,0,8.05
49,petropavlovsk-kamchatskiy,40,RU,thunderstorm,41,53.05,158.65,78.8,0.0,0,11.18
50,miraflores,90,MX,light rain,87,19.22,-98.81,55.4,0.0,0,9.17
51,guarapari,100,BR,overcast clouds,93,-20.67,-40.5,64.0,0.0,0,2.24
52,avarua,57,CK,broken clouds,74,-21.21,-159.78,78.8,0.0,0,6.93
53,kavieng,11,PG,few clouds,69,-2.57,150.8,85.87,0.0,0,9.08
54,puerto ayora,26,EC,scattered clouds,91,-0.74,-90.35,70.0,0.0,0,8.72
55,dakar,55,SN,broken clouds,83,14.69,-17.44,80.6,0.0,0,4.7
56,tautira,40,PF,scattered clouds,69,-17.73,-149.15,80.6,0.0,0,13.87
57,saint-francois,31,FR,scattered clouds,82,46.42,3.91,59.0,0.0,0,2.24
58,constantine,0,DZ,clear sky,67,36.37,6.61,62.6,0.0,0,3.36
59,weligama,100,LK,overcast clouds,76,5.97,80.42,83.73,0.0,0,11.59
