City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,ilebo,CD,67.89,-4.32,20.58,Hôtel des palmes
1,makakilo city,US,82.4,21.35,-158.09,Marriott's Ko Olina Beach Club
2,calvinia,ZA,64.4,-31.47,19.78,Die Lemoenhuis
7,boulsa,BF,84.0,12.67,-0.58,Boulsa tintin
8,launceston,AU,60.01,-41.45,147.17,Hotel Grand Chancellor Launceston
9,kautokeino,NO,62.85,69.01,23.04,Ailo Matki & Tourist -Kautokeino bilutleie
11,ati,TD,87.73,13.22,18.34, 
12,nikolskoye,RU,60.8,59.7,30.79,Tourist House - Sablino
13,atherton,GB,62.01,53.52,-2.49,The Mercury Motel
14,hilo,US,82.4,19.73,-155.09,Hilo Hawaiian Hotel
20,tahe,CN,72.64,52.33,124.73,塔河宾馆
21,hithadhoo,MV,84.22,-0.6,73.08,Scoop Guest House
23,olinda,BR,78.8,-8.01,-34.86,Hotel 5 Sóis
24,port alfred,ZA,66.0,-33.59,26.89,The Halyards Hotel
26,denia,ES,71.01,38.84,0.11,Hotel Port Dénia
27,chlorakas,CY,66.2,34.8,32.41,Elysium Hotel
28,rikitea,PF,69.94,-23.12,-134.97,Pension Maro'i
30,bambous virieux,MU,71.6,-20.34,57.76,Casa Tia Villa
34,busselton,AU,63.0,-33.65,115.33,Observatory Guest House
35,jamestown,US,63.0,42.1,-79.24,Hampton Inn & Suites Jamestown
36,damghan,IR,75.87,36.17,54.35,خوابگاه اساتيد دانشگاه دامغان
39,georgetown,MY,86.0,5.41,100.34,Cititel Penang
42,faanui,PF,79.05,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
43,kropotkin,RU,70.29,45.44,40.58,Hotel Europe Kropotkin
44,mahebourg,MU,71.6,-20.41,57.7,Shandrani Beachcomber Resort & Spa
45,ergani,TR,62.6,38.27,39.76,Serkan Hotel
46,hovd,MN,66.85,48.01,91.64,Hotel Khovd
48,ponta do sol,PT,68.0,32.67,-17.1,Hotel do Campo
49,petropavlovsk-kamchatskiy,RU,78.8,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
51,guarapari,BR,64.0,-20.67,-40.5,Hotel Porto do Sol
52,avarua,CK,78.8,-21.21,-159.78,Paradise Inn
53,kavieng,PG,85.87,-2.57,150.8,Nusa Island Retreat
54,puerto ayora,EC,70.0,-0.74,-90.35,Finch Bay Galapagos Hotel
55,dakar,SN,80.6,14.69,-17.44,Novotel Dakar
56,tautira,PF,80.6,-17.73,-149.15,Pension Oaoa
58,constantine,DZ,62.6,36.37,6.61,Grand Hotel Cirta
59,weligama,LK,83.73,5.97,80.42,Weligama Bay Resort
60,bayji,IQ,83.52,34.93,43.49,قريه جديده
61,saskylakh,RU,86.0,71.92,114.08, 
63,srednekolymsk,RU,71.67,67.45,153.68, 
65,yanam,IN,84.2,16.73,82.22,The Regency Hotel
66,yellowknife,CA,68.0,62.46,-114.35,The Explorer Hotel
67,saint-philippe,RE,64.4,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
68,sitio novo do tocantins,BR,71.98,-5.52,-47.46,Imperial Hotel
69,doha,QA,88.0,25.29,51.53,Movenpick Hotel Doha
72,tlapehuala,MX,76.87,18.22,-100.52,Iglesia del Dios vivocolumna y apollo de la verdad
75,carnarvon,AU,68.0,-24.87,113.63,Hospitality Carnarvon
76,jiangkou,CN,84.2,25.49,119.2,DFM Hotel
79,bethel,US,72.0,41.37,-73.41,Courtyard by Marriott Danbury
80,nelson bay,AU,62.01,-32.72,152.15,Mantra Nelson Bay
82,ukiah,US,93.2,39.15,-123.21,Hampton Inn Ukiah
84,fairbanks,US,60.8,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
85,lompoc,US,62.6,34.64,-120.46,Holiday Inn Express Lompoc
86,ust-kuyga,RU,82.63,70.02,135.6, 
87,mezhova,UA,66.38,48.25,36.73, 
90,isla vista,US,63.0,34.41,-119.86,Super 8 by Wyndham Santa Barbara/Goleta
91,darnah,LY,68.23,32.77,22.64,زاوية الرفاعي
92,fort nelson,CA,69.8,58.81,-122.7,The Fort Nelson Hotel
93,shache,CN,86.25,38.42,77.24,Delong Hotel
94,cidreira,BR,67.84,-30.18,-50.21,Novomar Pousada e Turismo Ltda
95,salalah,OM,82.4,17.02,54.09,HAMDAN PLAZA HOTEL
98,airai,TL,68.97,-8.93,125.41,Juvinal Martin
99,tilichiki,RU,64.98,60.47,166.1, 
100,miyako,JP,68.79,39.64,141.95,Hotel Route Inn Miyako
101,lagoa,PT,61.12,39.05,-27.98,Casa Das Faias
102,talnakh,RU,64.4,69.49,88.4,Talnakh Hotel
103,victoria,HK,91.0,22.29,114.16,Mini Hotel Central
104,imbituba,BR,68.0,-28.24,-48.67,Praia Hotel Imbituba
105,kapaa,US,82.4,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
106,aykhal,RU,75.2,66.0,111.5, 
107,ribeira grande,PT,61.03,38.52,-28.7,Quinta da Meia Eira
109,chokurdakh,RU,76.69,70.63,147.92, 
111,port elizabeth,ZA,64.4,-33.92,25.57,39 On Nile Guest House
112,aden,YE,86.05,12.78,45.04,Sama Emirate Hotel
114,cassilandia,BR,62.46,-19.11,-51.73,Hotel Rafa Cassilândia
115,dzerzhinskoye,RU,78.91,56.83,95.23,Kolos
116,tabas,IR,87.8,33.6,56.92,شرکت معماری مهراز شایگان آراد
118,semey,KZ,71.6,50.41,80.23,Hotel Zhana-Tau
119,lakes entrance,AU,60.01,-37.88,147.98,The Esplanade Resort & Spa
121,nouadhibou,MR,69.22,20.93,-17.03,El Medina
123,ballina,AU,64.99,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
124,puerto baquerizo moreno,EC,68.76,-0.9,-89.6,Hotel los Algarrobos
125,hillsboro,US,84.99,45.52,-122.99,Econo Lodge Inn & Suites Hillsboro - Portland West
127,arraial do cabo,BR,71.51,-22.97,-42.03,Pousada Porto Praia
129,oriximina,BR,76.44,-1.77,-55.87,Pousada Tia Amélia
130,east london,ZA,62.6,-33.02,27.91,Tu Casa
131,hobyo,SO,78.71,5.35,48.53,Osmani Hotel
132,fare,PF,79.7,-16.7,-151.02,Maitai Lapita Village Huahine
133,banjar,ID,84.2,-8.19,114.97,The Hamsa Resort
136,cabo san lucas,MX,86.0,22.89,-109.91,Hotel Tesoro Los Cabos
137,karratha,AU,81.03,-20.74,116.85,ibis Styles Karratha
139,stabat,ID,82.4,3.76,98.45,Sentosa Kost & Home Stay
140,karaton,ID,84.2,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
141,pacific grove,US,60.8,36.62,-121.92,Lovers Point Inn
144,neiafu,TO,80.6,-18.65,-173.98,Mystic Sands
145,camacha,PT,68.0,33.08,-16.33,Hotel Porto Santo & Spa
146,deputatskiy,RU,79.41,69.3,139.9,Baza Otdykha
149,namibe,AO,70.99,-15.2,12.15,Hotel Chik Chik Namibe
150,porlamar,VE,89.6,10.96,-63.85,Hotel Bella Vista
153,shingu,JP,80.6,33.73,135.98,Shingu UI Hotel
154,santa marinella,IT,63.0,42.03,11.85,"VILLA GREGORACI - b & b, guest houses, Santa Marinella"
156,sioux lookout,CA,62.6,50.1,-91.92,Knobby's Fly-In Camps
157,gurupi,BR,73.4,-11.73,-49.07,Via Norte Hotel
158,quesnel,CA,64.4,53.0,-122.5,Ramada Limited Quesnel
160,yulara,AU,62.6,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
161,lander,US,78.8,42.83,-108.73,Holiday Inn Express & Suites Lander
163,byron bay,AU,64.99,-28.65,153.62,Backpackers Inn on the Beach
164,caravelas,BR,69.58,-17.71,-39.25,Pousada dos Navegantes
165,guerrero negro,MX,63.88,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
166,irituia,BR,71.91,-1.77,-47.44,Hotel Victória
168,fontenay-le-comte,FR,66.2,46.58,-1.0,Le relais de la cure
169,san patricio,MX,82.4,19.22,-104.7,Hotel Cabo Blanco
170,wagar,SD,84.88,16.15,36.2, 
171,barinas,VE,71.28,8.62,-70.21,Hotel Suites Mastranto
181,guangzhou,CN,91.99,23.12,113.25,Guangzhou Hotel
182,kaputa,ZM,64.47,-8.47,29.66,Chelelwa Charlets
184,sao joao da barra,BR,70.2,-21.64,-41.05,Pousada Porto De Canoas
186,tiksi,RU,60.85,71.69,128.87,Arktika
187,tres picos,MX,79.63,15.87,-93.53,HOTEL TRES PICOS
188,odweyne,SO,73.44,9.41,45.06,Eng Hiirey House
190,manali,IN,86.0,13.17,80.27,Sarathy Lodge
193,northam,GB,62.01,51.03,-4.22,Durrant House Hotel
194,vaini,TO,77.0,-21.2,-175.2,Keleti Beach Resort
195,ponta delgada,PT,60.8,37.73,-25.67,Vila Nova Hotel
196,luanda,AO,67.3,-8.84,13.23,EPIC SANA Luanda
197,korla,CN,87.8,41.76,86.15,Gulisitan Hotel
198,pitimbu,BR,76.57,-7.47,-34.81,Reserva do Abiaí
199,khatanga,RU,76.33,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
200,tynda,RU,72.05,55.17,124.72,Medis
201,tonj,SS,70.86,7.27,28.68, 
202,sao borja,BR,68.25,-28.66,-56.0,Hotel Executivo
204,shelbyville,US,72.0,35.48,-86.46,Best Western Shelbyville Inn and Suites Celebration Inn
206,ostrowiec swietokrzyski,PL,60.01,50.93,21.39,VICTORIA Willa - Restauracja
207,malpe,IN,75.2,13.35,74.72,Hotel Sri Krishna Residency
209,butaritari,KI,83.61,3.07,172.79,Isles Sunset Lodge
211,ixtapa,MX,84.2,20.7,-105.2,Container Inn Puerto Vallarta
212,hamilton,US,68.0,39.18,-84.53,Six Acres Bed & Breakfast
213,adrar,MR,91.74,20.5,-10.07, 
215,buala,SB,86.16,-8.14,159.59,Maringe Lagoon Lodge
216,vila velha,BR,64.0,-20.33,-40.29,Hotel Vitória Palace
218,dali,CN,73.0,25.7,100.18,Dali Travelling With Hostel
220,rafai,CF,68.36,4.95,23.92, 
223,teguldet,RU,74.17,57.31,88.17,Gostinitsa Kedr
224,mbigou,GA,65.66,-1.9,11.91, 
225,lahij,YE,85.15,13.17,44.58, 
226,medea,DZ,62.6,36.26,2.75,Hôtel M'Sallah
227,razdolinsk,RU,80.64,58.42,94.67,"""U Nikolaicha"""
228,musoma,TZ,68.59,-1.5,33.8,New Peninsula Hotel
230,bubaque,GW,81.66,11.28,-15.83,Casa Dora
231,sabang,ID,82.38,5.89,95.32,Hotel Citra
232,shaunavon,CA,71.91,49.65,-108.42,Bear's Den Lodge
233,petrovec,MK,66.2,41.94,21.61,Motel Livija
234,hervey bay,AU,68.0,-25.3,152.85,Shelly Bay Resort
238,nioro,GM,82.22,13.35,-15.75, 
244,hasaki,JP,73.0,35.73,140.83,Inubosaki Kanko Hotel
245,dangara,IN,96.67,29.68,75.89,Hotel Gauri
246,gamba,GA,71.15,-2.65,10.0, 
248,freeport,US,73.99,40.66,-73.58,The Freeport Inn and Marinad
250,nsanje,MW,60.93,-16.92,35.26,Nsanje Discovery Lodge
251,bandarbeyla,SO,81.43,9.49,50.81,REER XOOSHLE GROUP
253,novo aripuana,BR,75.7,-5.12,-60.38,Hotel Ypê
254,port hedland,AU,80.6,-20.32,118.57,The Esplanade Hotel
258,portland,US,87.01,45.52,-122.68,Portland Marriott City Center
259,bergerac,FR,69.01,44.83,0.5,Hôtel de Bordeaux
261,athabasca,CA,65.77,54.72,-113.29,Athabasca Lodge Motel
263,russell,US,73.4,32.35,-85.2,Macs
264,ahuimanu,US,82.4,21.44,-157.84,Paradise Bay Resort
265,suicheng,CN,81.93,33.9,117.93,Junyue Hotel
269,kahului,US,87.8,20.89,-156.47,Maui Seaside Hotel
270,moerai,PF,72.88,-22.43,-151.33,Le Manotel
271,clermont,FR,60.01,49.5,2.42,"gîte"" Le Manoir Enchanté"" de Mme Doumayrou"
273,jacareacanga,BR,73.56,-6.22,-57.75,Casa do Ian😎
274,charters towers,AU,70.02,-20.1,146.27,Cattleman's Rest Motor Inn
275,alice springs,AU,60.8,-23.7,133.88,Desert Palms Alice Springs
276,payson,US,79.0,40.04,-111.73,Quality Inn Payson I-15
277,kawardha,IN,85.35,22.02,81.25,STARiHOTELS Raipur Road kawardha
279,hirara,JP,89.6,24.8,125.28,Hotel Atoll Emerald Miyakojima
280,hambantota,LK,82.4,6.12,81.12,Bungalow 63
281,lagunillas,VE,80.38,10.13,-71.26,Madre de Kirvez Castillo
282,havelock,US,80.6,34.88,-76.9,Sherwood Motel
283,nemuro,JP,62.6,43.32,145.57,Hotel Nemuro Kaiyoutei
284,carrollton,US,77.0,32.95,-96.89,Days Inn by Wyndham North Dallas/Farmers Branch
286,soyo,AO,70.83,-6.13,12.37,Hotel Mpampa
287,harindanga,IN,89.6,22.04,88.32,Sk giasuddin
288,eloy,US,100.99,32.76,-111.55,Eloy RV & Mobile Home Park
290,port keats,AU,83.46,-14.25,129.55,TDC Village (Hundred Man Camp)
291,torbay,CA,64.99,47.67,-52.73,Gallows Cove
292,laredo,US,84.2,27.51,-99.51,La Quinta Inn by Wyndham Laredo I-35
294,calamar,CO,78.44,10.25,-74.91,Canal del dique y rio magdalena
295,itamaraju,BR,60.78,-17.04,-39.53,Hotel Vista Bela
298,geraldton,AU,66.2,-28.77,114.6,Broadwater Mariner Resort
299,thompson,CA,78.8,55.74,-97.86,Burntwood Hotel
