City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Iqaluit,63.75,-68.51,44.01,87,90,16.11,CA,2020-06-23 23:18:51
1,Manicore,-5.81,-61.3,82.4,83,59,1.12,BR,2020-06-23 23:18:51
2,Nikolskoye,59.7,30.79,59.0,72,0,4.47,RU,2020-06-23 23:18:51
3,Avera,33.19,-82.53,77.0,83,75,18.34,US,2020-06-23 23:18:52
4,Krasnoselkup,65.7,82.47,56.43,61,0,3.67,RU,2020-06-23 23:18:52
5,Carnarvon,-24.87,113.63,55.4,87,0,8.05,AU,2020-06-23 23:18:52
6,Cherskiy,68.75,161.3,52.97,44,65,12.01,RU,2020-06-23 23:18:52
7,Russell,32.35,-85.2,87.8,58,20,8.59,US,2020-06-23 23:18:52
8,Port Alfred,-33.59,26.89,55.99,60,0,8.86,ZA,2020-06-23 23:18:52
9,Marzuq,14.4,46.47,81.88,25,43,2.3,YE,2020-06-23 23:18:52
10,Kruisfontein,-34.0,24.73,55.42,39,3,6.06,ZA,2020-06-23 23:18:52
11,Dikson,73.51,80.55,38.32,78,14,11.65,RU,2020-06-23 23:18:52
12,Hobart,-42.88,147.33,54.0,100,90,6.93,AU,2020-06-23 23:16:20
13,Krasnaya Gorka,55.2,56.67,48.0,91,96,3.69,RU,2020-06-23 23:18:53
14,High Level,58.52,-117.14,71.6,26,75,9.17,CA,2020-06-23 23:18:53
15,Grootfontein,-19.57,18.12,44.76,54,0,5.1,NA,2020-06-23 23:18:53
16,Brighton,50.83,-0.14,64.0,67,96,1.99,GB,2020-06-23 23:18:17
17,Mataura,-46.19,168.86,46.69,79,93,0.54,NZ,2020-06-23 23:18:53
18,Barrow,71.29,-156.79,37.4,74,40,6.93,US,2020-06-23 23:18:53
19,Albany,42.6,-73.97,87.01,51,40,5.68,US,2020-06-23 23:18:53
20,Scottsbluff,41.87,-103.67,87.8,22,1,6.6,US,2020-06-23 23:18:53
21,Acapulco,16.86,-99.89,86.0,74,90,5.82,MX,2020-06-23 23:15:26
22,Ushuaia,-54.8,-68.3,33.8,94,75,12.75,AR,2020-06-23 23:18:54
23,Priargunsk,50.37,119.1,56.77,84,96,8.01,RU,2020-06-23 23:18:38
24,Severo-Kurilsk,50.68,156.12,48.74,81,49,8.75,RU,2020-06-23 23:18:54
25,Osakarovka,50.56,72.57,51.94,89,100,21.09,KZ,2020-06-23 23:18:54
26,Avarua,-21.21,-159.78,78.8,74,44,9.17,CK,2020-06-23 23:18:54
27,Vestmanna,62.16,-7.17,50.0,87,48,12.75,FO,2020-06-23 23:18:55
28,Shizukuishi,39.68,140.98,66.2,82,75,2.24,JP,2020-06-23 23:18:55
29,Klaksvik,62.23,-6.59,50.0,87,66,12.75,FO,2020-06-23 23:18:55
30,Bredasdorp,-34.53,20.04,44.6,100,11,3.2,ZA,2020-06-23 23:18:55
31,Raudeberg,61.99,5.14,59.0,93,80,5.41,NO,2020-06-23 23:18:55
32,Joura,26.34,77.81,89.31,53,59,5.12,IN,2020-06-23 23:18:55
