City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.12,-134.97,70.16,51,100,9.15,PF,2020-06-23 20:08:12
1,Hobart,-42.88,147.33,53.01,93,90,9.17,AU,2020-06-23 20:05:33
2,Tasiilaq,65.61,-37.64,48.2,66,75,17.22,GL,2020-06-23 20:08:12
3,Llanes,43.42,-4.75,75.99,80,0,1.99,ES,2020-06-23 20:08:12
4,New Norfolk,-42.78,147.06,53.01,90,100,2.51,AU,2020-06-23 20:08:12
5,Luderitz,-26.65,15.16,60.8,63,0,2.24,NA,2020-06-23 20:08:12
6,Port Lincoln,-34.73,135.87,49.59,75,0,7.02,AU,2020-06-23 20:08:12
7,Hambantota,6.12,81.12,80.1,81,100,14.36,LK,2020-06-23 20:08:12
8,Butaritari,3.07,172.79,83.46,74,21,16.44,KI,2020-06-23 20:08:12
9,Te Anau,-45.42,167.72,40.1,90,39,1.19,NZ,2020-06-23 20:08:13
10,Zhezkazgan,47.8,67.71,60.35,50,0,15.68,KZ,2020-06-23 20:08:13
11,Punta Arenas,-53.15,-70.92,39.2,60,0,19.46,CL,2020-06-23 20:08:13
12,Nizhneudinsk,54.91,99.03,59.68,84,100,2.19,RU,2020-06-23 20:08:13
13,Girne,35.34,33.32,71.6,68,40,11.41,CY,2020-06-23 20:08:13
14,Cidreira,-30.18,-50.21,69.87,70,14,9.78,BR,2020-06-23 20:08:13
15,Kapaa,22.08,-159.32,82.0,74,40,10.29,US,2020-06-23 20:08:13
16,Cabo San Lucas,22.89,-109.91,88.0,38,40,5.82,MX,2020-06-23 20:08:13
17,Santo Antonio Do Ica,-3.1,-67.94,84.04,79,44,1.45,BR,2020-06-23 20:08:13
18,Stornoway,58.21,-6.39,55.4,76,100,5.82,GB,2020-06-23 20:06:36
19,Fairbanks,64.84,-147.72,50.0,100,90,5.82,US,2020-06-23 20:05:10
20,Bluff,-46.6,168.33,39.0,83,94,3.0,NZ,2020-06-23 20:08:13
21,Busselton,-33.65,115.33,52.0,66,13,13.35,AU,2020-06-23 20:04:03
22,Yellowknife,62.46,-114.35,72.0,59,75,16.11,CA,2020-06-23 20:08:13
23,Lagoa,39.05,-27.98,61.25,70,11,16.28,PT,2020-06-23 20:08:14
24,Sao Raimundo Nonato,-9.02,-42.7,81.39,53,37,9.89,BR,2020-06-23 20:08:07
25,Muros,42.78,-9.06,70.0,77,1,14.0,ES,2020-06-23 20:08:14
26,Khandbari,27.37,87.2,73.17,75,55,0.92,NP,2020-06-23 20:08:14
27,Padang,-0.95,100.35,75.13,85,100,6.6,ID,2020-06-23 20:08:14
28,Atuona,-9.8,-139.03,79.54,70,6,15.19,PF,2020-06-23 20:08:14
29,Ilulissat,69.22,-51.1,39.2,80,75,4.7,GL,2020-06-23 20:08:14
30,Lebu,-37.62,-73.65,50.52,75,90,7.29,CL,2020-06-23 20:08:14
31,Sinnamary,5.38,-52.95,79.03,89,100,10.67,GF,2020-06-23 20:08:14
32,Kyaukse,21.6,96.13,82.51,68,100,7.09,MM,2020-06-23 20:08:14
33,Dikson,73.51,80.55,37.51,81,29,13.22,RU,2020-06-23 20:08:14
34,Tutoia,-2.76,-42.27,80.76,83,36,3.85,BR,2020-06-23 20:08:15
35,Leningradskiy,69.38,178.42,32.38,95,100,14.65,RU,2020-06-23 20:08:15
36,Dingle,11.0,122.67,78.1,82,52,3.04,PH,2020-06-23 20:08:15
37,Navalmoral De La Mata,39.89,-5.54,82.99,31,8,4.0,ES,2020-06-23 20:08:15
38,West Wendover,40.74,-114.07,84.2,18,1,5.82,US,2020-06-23 20:08:15
39,Quatre Cocos,-20.21,57.76,71.6,83,40,5.82,MU,2020-06-23 20:08:15
40,Mantua,45.17,10.78,79.0,61,0,7.27,IT,2020-06-23 20:08:15
41,Amazar,53.86,120.88,49.14,90,22,2.82,RU,2020-06-23 20:08:15
42,Saldanha,-33.01,17.94,51.8,81,0,2.24,ZA,2020-06-23 20:08:15
43,Jamestown,42.1,-79.24,75.2,73,90,12.75,US,2020-06-23 20:08:15
44,Ushuaia,-54.8,-68.3,33.8,86,75,18.34,AR,2020-06-23 20:06:24
45,Sohag,26.56,31.69,96.8,18,0,10.29,EG,2020-06-23 20:07:05
46,Kuusamo,65.97,29.18,62.6,45,61,3.36,FI,2020-06-23 20:08:15
47,Bethel,41.37,-73.41,84.2,54,1,12.75,US,2020-06-23 20:08:16
48,Fereydun Kenar,36.69,52.52,75.2,73,0,4.7,IR,2020-06-23 20:08:16
49,Cuiluan,47.72,128.65,59.13,94,97,4.18,CN,2020-06-23 20:08:16
50,Barrow,71.29,-156.79,35.6,80,90,6.93,US,2020-06-23 20:06:34
51,Khatanga,71.97,102.5,66.97,64,26,7.58,RU,2020-06-23 20:08:16
52,Pangnirtung,66.15,-65.71,41.0,93,90,4.7,CA,2020-06-23 20:08:16
53,Souillac,-20.52,57.52,71.6,83,40,5.82,MU,2020-06-23 20:08:16
54,Umtata,-31.59,28.78,50.0,39,0,3.91,ZA,2020-06-23 20:08:16
55,Omboue,-1.57,9.26,72.9,87,100,7.72,GA,2020-06-23 20:08:16
56,Kruisfontein,-34.0,24.73,53.58,69,6,4.74,ZA,2020-06-23 20:08:16
57,Port Alfred,-33.59,26.89,59.0,53,0,1.01,ZA,2020-06-23 20:08:16
58,Kaitangata,-46.28,169.85,46.99,85,87,3.38,NZ,2020-06-23 20:08:17
59,Tiksi,71.69,128.87,53.96,64,2,5.08,RU,2020-06-23 20:08:17
60,Nizhniy Kuranakh,58.84,125.49,55.96,68,0,3.38,RU,2020-06-23 20:08:17
61,San Vicente,-26.62,-54.13,73.2,57,0,5.5,AR,2020-06-23 20:08:17
62,Puerto Ayora,-0.74,-90.35,73.0,88,82,4.0,EC,2020-06-23 20:08:17
63,Curup,-3.47,102.53,68.22,93,100,0.54,ID,2020-06-23 20:08:17
64,Saint George,37.1,-113.58,102.99,11,1,5.82,US,2020-06-23 20:03:20
65,Touros,-5.2,-35.46,82.4,65,40,6.93,BR,2020-06-23 20:08:17
66,Sitka,57.05,-135.33,53.6,81,75,6.93,US,2020-06-23 20:08:17
67,Faya,18.39,42.45,77.0,16,100,10.29,SA,2020-06-23 20:08:17
68,Lifford,54.83,-7.48,57.54,93,100,8.55,IE,2020-06-23 20:08:17
69,Vaini,-21.2,-175.2,68.0,100,20,3.36,TO,2020-06-23 20:08:17
70,Georgetown,5.41,100.34,80.6,88,20,3.36,MY,2020-06-23 20:04:23
71,Vanimo,-2.67,141.3,78.39,85,59,4.88,PG,2020-06-23 20:08:18
